year,state,month,date,number
2013,Acre,Dezembro,01/01/2013,3
2014,Acre,Dezembro,01/01/2014,6
2015,Acre,Dezembro,01/01/2015,8
2016,Acre,Dezembro,01/01/2016,6
1998,Alagoas,Janeiro,01/01/1998,0
1999,Alagoas,Janeiro,01/01/1999,58
2000,Alagoas,Janeiro,01/01/2000,11
2001,Alagoas,Janeiro,01/01/2001,5
2002,Alagoas,Janeiro,01/01/2002,12
2003,Alagoas,Janeiro,01/01/2003,150
2004,Alagoas,Janeiro,01/01/2004,9
2005,Alagoas,Janeiro,01/01/2005,83
2006,Alagoas,Janeiro,01/01/2006,29
2007,Alagoas,Janeiro,01/01/2007,33
2008,Alagoas,Janeiro,01/01/2008,55
2009,Alagoas,Janeiro,01/01/2009,104
2010,Alagoas,Janeiro,01/01/2010,23
2011,Alagoas,Janeiro,01/01/2011,41
2012,Alagoas,Janeiro,01/01/2012,36
2013,Alagoas,Janeiro,01/01/2013,49
2014,Alagoas,Janeiro,01/01/2014,54
2015,Alagoas,Janeiro,01/01/2015,81
2016,Alagoas,Janeiro,01/01/2016,24
2017,Alagoas,Janeiro,01/01/2017,38
2017,Alagoas,Janeiro,01/01/2017,38
1998,Alagoas,Fevereiro,01/01/1998,0
1999,Alagoas,Fevereiro,01/01/1999,20
2000,Alagoas,Fevereiro,01/01/2000,16
2001,Alagoas,Fevereiro,01/01/2001,4
2002,Alagoas,Fevereiro,01/01/2002,15
2003,Alagoas,Fevereiro,01/01/2003,33
2004,Alagoas,Fevereiro,01/01/2004,7
2005,Alagoas,Fevereiro,01/01/2005,31
2006,Alagoas,Fevereiro,01/01/2006,14
2007,Alagoas,Fevereiro,01/01/2007,28
2008,Alagoas,Fevereiro,01/01/2008,74
2009,Alagoas,Fevereiro,01/01/2009,32
2010,Alagoas,Fevereiro,01/01/2010,26
2011,Alagoas,Fevereiro,01/01/2011,33
2012,Alagoas,Fevereiro,01/01/2012,41
2013,Alagoas,Fevereiro,01/01/2013,19
2014,Alagoas,Fevereiro,01/01/2014,29
2015,Alagoas,Fevereiro,01/01/2015,46
2016,Alagoas,Fevereiro,01/01/2016,14
2017,Alagoas,Fevereiro,01/01/2017,21
1998,Alagoas,Março,01/01/1998,0
1999,Alagoas,Março,01/01/1999,52
2000,Alagoas,Março,01/01/2000,32
2001,Alagoas,Março,01/01/2001,0
2002,Alagoas,Março,01/01/2002,27
2003,Alagoas,Março,01/01/2003,15
2004,Alagoas,Março,01/01/2004,16
2005,Alagoas,Março,01/01/2005,35
2006,Alagoas,Março,01/01/2006,37
2007,Alagoas,Março,01/01/2007,7
2008,Alagoas,Março,01/01/2008,31
2009,Alagoas,Março,01/01/2009,31
2010,Alagoas,Março,01/01/2010,70
2011,Alagoas,Março,01/01/2011,34
2012,Alagoas,Março,01/01/2012,44
2013,Alagoas,Março,01/01/2013,31
2014,Alagoas,Março,01/01/2014,28
2015,Alagoas,Março,01/01/2015,32
2016,Alagoas,Março,01/01/2016,9
